,title,view,like,unlike,comment,date,token2
108,상황극에 중독된 여동생 '협찬편' 고객새끼 입장하십니닼지가 진짜 디자이너인줄알앜,676634,1000,164,452,2019.4.11,"['디자이너', '새끼', '중독', '진짜', '상황', '협찬', '여동생', '고객']"
109,그동안 사랑해주셔서 감사합니다,1151102,19000,478,1451,2019.4.5,"['감사', '그동안', '사랑']"
110,장난 많은 여자친구한테 진짜 '장난'이 뭔지 보여주깈노트북을 부숴버린다고,2412044,2000,996,1060,2019.3.30,"['여자', '친구', '무엇', '장난', '진짜']"
111,귀여운 동물들이 갑자기 사악해진다면뛰는거봨,3763838,58000,1100,4476,2019.3.27,"['사악', '동물']"
112,프로포즈 로망 있는 여사친에게 프로포즈로 로망 부셔부리깈폭풍간짘,2142455,27000,459,1442,2019.3.22,"['사친', '로망', '폭풍', '프로포즈', '부리']"
113,상황극에 중독된 여동생 '협찬편' 지금까지 이런 미친X은 없었다 이것은 사람인가 미친X인갘,601411,12000,188,684,2019.3.14,"['사람', '중독', '지금', '상황', '협찬', '여동생']"
114,몰카) 바람폈던 전 여자친구를 만나게된다면 사람별 총 정리 Feat 구공탄,2087828,23000,648,1723,2019.3.5,"['사람', '여자', '구공탄', '친구', '정리', '바람']"
115,유튜브 최초 영상 제목 학원 Feat 센스,234612,5100,64,492,2019.3.3,"['제목', '영상', '학원', '센스', '튜브', '최초']"
116,조회수 10만 안나오면 폐지,286328,7100,197,756,2019.2.23,"['회수', '폐지']"
117,Q&A 그 유튜버의 그 구독자,1134625,21000,276,2585,2019.2.16,['구독자']
118,맨날 건강챙기는 형 진짜 건 '강'하게 만들어주깈 Feat 조제알통,961515,12000,286,740,2019.2.14,"['건강', '알통', '조제']"
119,한번보면 중독되는 조재원 죽음의 ASMR 15탄 ,1371239,28000,620,3553,2019.2.9,"['죽음', '중독']"
120,요즘 핫한 '입냄새 끝판왕'에게 어택한닼 조재원의 하우스어택 5화 feat 더블비,479446,7800,182,1055,2019.1.28,"['어택', '끝판', '원의', '하우스', '요즘', '더블', '입냄새']"
121,상황극에 중독된 여동생 23 여러분 한방 먹었습니다 어이가없어서 말이 안나온닼,1895640,28000,403,1373,2019.1.25,"['어이', '중독', '한방', '상황', '여동생']"
122,상황극에 중독된 여동생 22 진짜 우리 둘중 하나는 죽어야 끝난닼,3198767,77000,874,5066,2019.1.18,"['여동생', '중독', '상황']"
123,누나가 왜 거기서 나와 조재원의 하우스어택 4화 feat 강유미,1418771,16000,406,826,2019.1.4,"['어택', '원의', '하우스', '유미', '누나']"
124,하늘에서 천사가 내려왔다 그녀의 모든걸 낱낱이 파헤치겠습니다 조재원의 하우스어택 3화  feat예콩이,1389578,22000,307,1820,2018.12.28,"['어택', '원의', '하우스', '천사', '하늘']"
125,너의 모든걸 강제로 보여준다 조재원의 하우스어택 2화 feat 김유이,7432476,64000,200,5238,2018.12.14,"['원의', '하우스', '강제', '어택']"
126,뭐든지 다 먹을 수 있다는 형 '진짜' 뭐든지 다 먹이깈건강 챙겨주는 동생 나 밖에 없지^^,647679,9000,202,691,2018.12.5,"['건강', '진짜', '먹이', '동생']"
127,한밤중에 집을 쳐들어간다곸 침대에서 이게 왜나왘 조재원의 하우스어택 1화 feat 보물섬,1707227,17000,564,1349,2018.12.2,"['어택', '보물섬', '침대', '원의', '하우스', '한밤중']"
128,여러분저희 사고쳤습니닼 배우X광고주 둘다 약빨았엌,1306179,21000,471,2178,2018.11.9,"['배우', '광고주']"
129,상황극에 중독된 여동생 21 딱밤과의 전쟁유이의 전성시대 개막을 알립니닼,2030240,37000,399,1665,2018.11.5,"['전쟁', '중독', '개막', '이의', '상황', '전성시대', '여동생']"
130,조재원 죽음의 ASMR '엄마편' 9탄 With할로윈,773046,16000,319,1940,2018.10.30,"['할로윈', '죽음', '엄마']"
131,상황극에 중독된 마미손 (20탄 특집) 소름돋는 마미손의 정체,1002924,25000,650,3336,2018.10.20,"['정체', '중독', '소름', '상황', '특집']"
132,상황극에 중독된 OOO 진짜 곤란하닼=제발 그러지마세욬,418145,11000,407,1118,2018.10.18,"['마세', '중독', '곤란', '상황']"
133,상황극에 중독된 여동생 19 유이의 역대급 스케일 vs 조재원의 역대급 빡침,3066057,63000,581,4320,2018.10.12,"['중독', '이의', '여동생', '스케일', '상황', '역대']"
134,상황극에 중독된 여동생 '협찬편' 여러분 제발 말려주세욬조딱밤 스킬 시전합니다 진짴,2242447,39000,514,1813,2018.10.5,"['주세', '시전', '중독', '상황', '스킬', '협찬', '여동생']"
135,몰카하려는형들 '진짜' 몰카로 참교육 해주깈그들만의 리그,1583727,2000,392,919,2018.10.2,"['진짜', '리그', '참교육']"
136,맨날 말만하고 밥 안사주는 쌍둥이 형들 '쌍'으로 복수하깈쌍둥이 답다 진짴,1933559,21000,930,1464,2018.9.23,"['쌍둥이', '사주']"
